rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,mean_fit_time
1,0.5713219502770552,0.007730232015254227,300,7,0.05,0.9,0.8,0.9112133026123047
2,0.5704819716136788,0.011976451441401224,500,7,0.05,0.9,0.7,1.5836430549621583
3,0.5703061520316647,0.008821019078859885,200,7,0.05,0.7,0.9,0.6553315639495849
4,0.569317273784155,0.0071390536900265795,500,5,0.05,0.8,0.7,1.4714323997497558
5,0.5692543255477394,0.004683710653640718,200,7,0.05,0.8,0.9,1.0976787090301514
6,0.5692319652643675,0.005065577826833367,300,7,0.05,0.9,0.9,1.341558313369751
7,0.5691477077087554,0.008041573186570172,200,5,0.1,0.7,0.9,0.4645564079284668
8,0.5685604225624388,0.0044833258627128844,200,5,0.1,0.8,0.7,0.6248096942901611
9,0.5684964876506552,0.010139571242587807,300,7,0.05,0.7,0.9,0.9160889625549317
10,0.5682441311959343,0.00828175290897635,300,7,0.05,0.8,0.7,0.9162278175354004
11,0.5679665288264961,0.008159708865019068,500,7,0.05,0.7,0.9,1.654240608215332
12,0.5678685394145324,0.01148381025958342,500,7,0.05,0.9,0.9,1.8597972393035889
13,0.5677847138874805,0.006696548138118594,300,7,0.05,0.9,0.7,1.7593676090240478
14,0.567759557293244,0.005624960889727117,500,5,0.05,0.7,0.7,1.1863765239715576
15,0.567520159602253,0.006760867351635557,500,5,0.05,0.9,0.7,1.2990874290466308
16,0.5675055511274999,0.00872491947122007,300,7,0.05,0.7,0.7,1.2091724395751953
17,0.5674839195641759,0.00990675841099664,500,5,0.05,0.8,0.8,1.1143507957458496
18,0.5671866442079073,0.011378526629839758,300,7,0.05,0.7,0.8,0.9091281890869141
19,0.5670896109320769,0.006007927396309274,100,7,0.1,0.9,0.8,0.3269082546234131
20,0.5670661411642136,0.007989025518671559,500,5,0.05,0.8,0.9,1.2034364223480225
21,0.5666060180013304,0.007157676166162685,500,3,0.1,0.8,0.9,0.9182315826416015
22,0.5665812498062085,0.010741773996481284,500,5,0.05,0.9,0.8,1.461818313598633
23,0.5665542672896304,0.008177823835513734,200,7,0.05,0.9,0.7,0.7233550071716308
24,0.5664948130896439,0.010432402777323662,300,5,0.1,0.8,0.9,0.857181978225708
25,0.5663356171683819,0.008179254802661413,300,5,0.1,0.7,0.9,0.722460126876831
26,0.5661696512598338,0.006025999213399853,200,7,0.05,0.7,0.8,0.7221526145935059
27,0.5661018622696801,0.00817385609257673,500,3,0.1,0.8,0.7,1.7098701000213623
28,0.5660553800729742,0.006944465662504822,200,7,0.1,0.8,0.7,0.6142970085144043
29,0.5659998860090374,0.006737768952775317,300,5,0.05,0.8,0.8,0.7475205898284912
30,0.565983006922637,0.008983889860063638,100,7,0.1,0.7,0.8,0.3406238079071045
31,0.5656848814158314,0.009806098610222524,500,7,0.05,0.9,0.8,2.046237421035767
32,0.5655860043977726,0.007043644150576465,200,7,0.05,0.8,0.7,0.7672086238861084
33,0.5654947966021481,0.008456381135813325,500,5,0.05,0.9,0.9,1.362914800643921
34,0.5653621182909219,0.00704377126886055,300,7,0.05,0.8,0.9,1.0396386623382567
35,0.5653251118655838,0.007319790087253235,200,5,0.05,0.8,0.8,0.5192795753479004
36,0.5653173227609144,0.0090749425684077,300,5,0.1,0.7,0.8,0.6894982337951661
37,0.5653104644622046,0.006323308944558113,300,5,0.05,0.8,0.7,0.6445672512054443
38,0.5652675422797028,0.009231371514515222,500,3,0.1,0.9,0.8,0.9859489917755127
39,0.5651885579089322,0.010047335122989404,100,7,0.1,0.9,0.7,0.34797005653381347
40,0.5651767193076808,0.009006319046851672,200,7,0.1,0.9,0.7,0.7263811111450196
41,0.5650641097484072,0.007710099928115346,200,7,0.1,0.7,0.7,0.7182703971862793
42,0.5649565531597694,0.008667305135078813,300,5,0.1,0.9,0.8,0.8392410755157471
43,0.5649208461899043,0.006341645443088343,100,7,0.05,0.9,0.7,0.3841362953186035
44,0.5648795257169603,0.0072195792315265595,200,5,0.1,0.8,0.9,0.6045538902282714
45,0.5648550497016244,0.008102870342407012,100,7,0.1,0.7,0.7,0.43665099143981934
46,0.5648392188205218,0.00593539509498472,500,7,0.05,0.8,0.9,1.5216989040374755
47,0.5648317313298923,0.011469549974876184,500,7,0.05,0.7,0.8,1.765742826461792
48,0.5647618360978297,0.0065127784119446835,300,5,0.05,0.9,0.8,0.6947190284729003
